156.17.0.0,156.17.75.6,EU,PL,"Lower Silesia","Wrocław (Śródmieście)",51.1071,17.063
156.17.75.7,156.17.75.7,EU,PL,"Lower Silesia","Wrocław (Śródmieście)",51.1104,17.0561
156.17.75.8,156.17.103.255,EU,PL,"Lower Silesia","Wrocław (Śródmieście)",51.1071,17.063
156.17.104.0,156.17.104.255,EU,PL,"Lower Silesia","Rejon placu Świętego Macieja",51.1206,17.0376
156.17.105.0,156.17.199.255,EU,PL,"Lower Silesia","Wrocław (Śródmieście)",51.1071,17.063
156.17.200.0,156.17.200.255,EU,PL,"Greater Poland",Poznan,52.4064,16.9252
156.17.201.0,156.17.201.255,EU,PL,"Lower Silesia",Wrocław,51.1079,17.0385
156.17.202.0,156.17.204.255,EU,PL,"Greater Poland",Poznan,52.4064,16.9252
156.17.205.0,156.17.205.255,EU,PL,"Lower Silesia",Legnica,51.2101,16.1619
156.17.206.0,156.17.207.255,EU,PL,"Greater Poland",Poznan,52.4064,16.9252
156.17.208.0,156.17.245.255,EU,PL,"Lower Silesia","Wrocław (Śródmieście)",51.1071,17.063
156.17.246.0,156.17.246.255,EU,PL,"Lower Silesia","Wrocław (Śródmieście)",51.1099,17.057
156.17.247.0,156.17.255.255,EU,PL,"Lower Silesia","Wrocław (Śródmieście)",51.1071,17.063
156.18.0.0,156.18.255.255,EU,FR,Auvergne-Rhône-Alpes,Écully,45.7839,4.76919
156.19.0.0,156.19.0.255,NA,US,"South Carolina",Greenville,34.8526,-82.394
156.19.1.0,156.19.1.255,NA,US,"South Carolina",Simpsonville,34.7371,-82.2543
156.19.2.0,156.19.2.255,NA,US,"North Carolina",Asheville,35.5671,-82.5438
156.19.3.0,156.19.3.255,NA,US,"South Carolina",Spartanburg,34.9496,-81.932
156.19.4.0,156.19.4.255,NA,US,"South Carolina",Greenville,34.8526,-82.394
156.19.5.0,156.19.5.255,NA,US,"North Carolina",Asheville,35.5671,-82.5438
156.19.6.0,156.19.7.11,NA,US,"South Carolina",Greenville,34.8526,-82.394
156.19.7.12,156.19.7.255,NA,US,"North Carolina",Hickory,35.6704,-81.3619
156.19.8.0,156.19.8.255,NA,US,"South Carolina",Greenville,34.8526,-82.394
156.19.9.0,156.19.9.255,NA,US,"South Carolina",Spartanburg,34.9496,-81.932
156.19.10.0,156.19.10.255,NA,US,"South Carolina",Anderson,34.5034,-82.6501
156.19.11.0,156.19.11.255,NA,US,"North Carolina","Sugar Grove",36.2549,-81.8334
156.19.12.0,156.19.12.255,NA,US,"South Carolina",Anderson,34.5034,-82.6501
156.19.13.0,156.19.14.3,NA,US,"South Carolina",Greenville,34.8526,-82.394
156.19.14.4,156.19.14.255,NA,US,"North Carolina",Hickory,35.6704,-81.3619
156.19.15.0,156.19.16.7,NA,US,"South Carolina",Greenville,34.8526,-82.394
156.19.16.8,156.19.17.7,NA,US,"South Carolina",Spartanburg,34.9496,-81.932
156.19.17.8,156.19.17.255,NA,US,"North Carolina",Asheville,35.5671,-82.5438
156.19.18.0,156.19.18.255,NA,US,"South Carolina",Greenville,34.8526,-82.394
156.19.19.0,156.19.19.255,NA,US,"North Carolina",Hickory,35.6704,-81.3619
156.19.20.0,156.19.20.255,NA,US,"South Carolina",Greenville,34.8526,-82.394
156.19.21.0,156.19.21.255,NA,US,"North Carolina",Marion,35.684,-82.0093
156.19.22.0,156.19.22.255,NA,US,"North Carolina",Boone,36.2168,-81.6746
156.19.23.0,156.19.23.255,NA,US,"South Carolina",Spartanburg,34.9496,-81.932
156.19.24.0,156.19.24.255,NA,US,"South Carolina",Greenville,34.8526,-82.394
156.19.25.0,156.19.25.255,NA,US,"South Carolina",Simpsonville,34.7371,-82.2543
156.19.26.0,156.19.26.247,NA,US,"North Carolina",Hickory,35.6704,-81.3619
