141.1.64.0,141.1.68.255,EU,DE,Bavaria,Munich,48.1351,11.582
141.1.69.0,141.1.69.255,EU,DE,Bavaria,Munich,48.1367,11.5768
141.1.70.0,141.1.70.255,EU,DE,Bavaria,Munich,48.1351,11.582
141.1.71.0,141.1.71.255,EU,DE,Bavaria,Munich,48.1367,11.5768
141.1.72.0,141.1.79.255,EU,DE,Bavaria,Munich,48.1351,11.582
141.1.80.0,141.1.80.255,EU,DE,Bavaria,Munich,48.1367,11.5768
141.1.81.0,141.1.89.255,EU,DE,Bavaria,Munich,48.1351,11.582
141.1.90.0,141.1.90.255,EU,DE,Bavaria,Munich,48.1367,11.5768
141.1.91.0,141.1.92.255,EU,DE,Hesse,"Frankfurt am Main",50.1109,8.68213
141.1.93.0,141.1.94.255,EU,DE,Bavaria,Munich,48.1351,11.582
141.1.95.0,141.1.96.255,EU,DE,Bavaria,Munich,48.1367,11.5768
141.1.97.0,141.1.97.255,EU,DE,Hesse,"Frankfurt am Main",50.1109,8.68213
141.1.98.0,141.1.98.255,EU,DE,Bavaria,Munich,48.1367,11.5768
141.1.99.0,141.1.100.255,EU,DE,Bavaria,Munich,48.1351,11.582
141.1.101.0,141.1.103.255,EU,DE,Bavaria,Munich,48.1367,11.5768
141.1.104.0,141.1.104.255,EU,DE,Hesse,"Frankfurt am Main",50.1109,8.68213
141.1.105.0,141.1.105.255,EU,DE,Bavaria,Munich,48.1367,11.5768
141.1.106.0,141.1.106.255,EU,DE,Hesse,"Frankfurt am Main",50.1109,8.68213
141.1.107.0,141.1.107.255,EU,DE,Bavaria,Munich,48.1367,11.5768
141.1.108.0,141.1.108.255,EU,DE,Hesse,"Frankfurt am Main",50.1109,8.68213
141.1.109.0,141.1.110.255,EU,DE,Bavaria,Munich,48.1367,11.5768
141.1.111.0,141.1.111.255,EU,DE,Hesse,"Frankfurt am Main",50.1109,8.68213
141.1.112.0,141.1.112.255,EU,DE,Bavaria,Munich,48.1367,11.5768
141.1.113.0,141.1.113.255,EU,DE,Hamburg,Hamburg,53.5511,9.99368
141.1.114.0,141.1.114.255,EU,DE,Hesse,"Frankfurt am Main",50.1109,8.68213
141.1.115.0,141.1.115.255,EU,DE,Bavaria,Munich,48.1367,11.5768
141.1.116.0,141.1.116.255,EU,DE,Bavaria,Munich,48.1351,11.582
141.1.117.0,141.1.117.255,EU,DE,Bavaria,Munich,48.1367,11.5768
141.1.118.0,141.1.119.255,EU,DE,Bavaria,Munich,48.1351,11.582
141.1.120.0,141.1.121.255,EU,DE,Bavaria,Munich,48.1367,11.5768
141.1.122.0,141.1.122.255,EU,DE,Hesse,"Frankfurt am Main",50.1109,8.68213
141.1.123.0,141.1.125.255,EU,DE,Bavaria,Munich,48.1367,11.5768
141.1.126.0,141.1.126.255,EU,DE,Hesse,"Frankfurt am Main",50.1109,8.68213
141.1.127.0,141.1.128.255,EU,DE,Bavaria,Munich,48.1367,11.5768
141.1.129.0,141.1.129.255,EU,DE,Hesse,"Frankfurt am Main",50.1109,8.68213
141.1.130.0,141.1.134.255,EU,DE,Bavaria,Munich,48.1367,11.5768
141.1.135.0,141.1.135.255,EU,DE,Hesse,"Frankfurt am Main",50.1109,8.68213
141.1.136.0,141.1.153.255,EU,DE,Bavaria,Munich,48.1367,11.5768
141.1.154.0,141.1.154.255,EU,DE,Hesse,"Frankfurt am Main",50.1109,8.68213
141.1.155.0,141.1.159.255,EU,DE,Bavaria,Munich,48.1367,11.5768
141.1.160.0,141.1.160.255,EU,DE,Bavaria,Munich,48.1351,11.582
141.1.161.0,141.1.163.255,EU,DE,Bavaria,Munich,48.1367,11.5768
141.1.164.0,141.1.164.255,EU,DE,Bavaria,Munich,48.1351,11.582
141.1.165.0,141.1.171.255,EU,DE,Bavaria,Munich,48.1367,11.5768
141.1.172.0,141.1.172.255,EU,DE,Hesse,"Frankfurt am Main",50.1109,8.68213
141.1.173.0,141.1.177.255,EU,DE,Bavaria,Munich,48.1367,11.5768
141.1.178.0,141.1.178.255,EU,DE,Hesse,"Frankfurt am Main",50.1109,8.68213
141.1.179.0,141.1.192.255,EU,DE,Bavaria,Munich,48.1367,11.5768
141.1.193.0,141.1.202.255,EU,DE,Bavaria,Munich,48.1351,11.582
141.1.203.0,141.1.204.255,EU,DE,Bavaria,Munich,48.1367,11.5768
141.1.205.0,141.1.205.255,EU,DE,Hesse,"Frankfurt am Main",50.1109,8.68213
141.1.206.0,141.1.206.255,EU,DE,Bavaria,Munich,48.1367,11.5768
141.1.207.0,141.1.213.255,EU,DE,Bavaria,Munich,48.1351,11.582
141.1.214.0,141.1.214.255,EU,DE,Bavaria,Munich,48.1367,11.5768
141.1.215.0,141.1.215.255,EU,DE,Hesse,"Frankfurt am Main",50.1109,8.68213
141.1.216.0,141.1.216.255,EU,DE,Bavaria,Munich,48.1367,11.5768
141.1.217.0,141.1.220.255,EU,DE,Bavaria,Munich,48.1351,11.582
141.1.221.0,141.1.223.255,EU,DE,Bavaria,Munich,48.1367,11.5768
141.1.224.0,141.1.224.255,EU,DE,Bavaria,Munich,48.1351,11.582
141.1.225.0,141.1.225.255,EU,DE,Hesse,"Frankfurt am Main",50.1109,8.68213
141.1.226.0,141.1.226.255,EU,DE,Bavaria,Munich,48.1367,11.5768
141.1.227.0,141.1.227.255,EU,DE,Bavaria,Munich,48.1351,11.582
141.1.228.0,141.1.228.255,EU,DE,Bavaria,Munich,48.1367,11.5768
141.1.229.0,141.1.229.255,EU,DE,Hesse,"Frankfurt am Main",50.1109,8.68213
141.1.230.0,141.1.231.255,EU,DE,Bavaria,Munich,48.1351,11.582
141.1.232.0,141.1.232.255,EU,DE,Hesse,"Frankfurt am Main",50.1109,8.68213
141.1.233.0,141.1.237.255,EU,DE,Bavaria,Munich,48.1351,11.582
141.1.238.0,141.1.238.255,EU,DE,Bavaria,Munich,48.1367,11.5768
141.1.239.0,141.1.239.255,EU,DE,Bavaria,Munich,48.1351,11.582
141.1.240.0,141.1.240.255,EU,DE,Bavaria,Munich,48.1367,11.5768
141.1.241.0,141.1.242.255,EU,DE,Bavaria,Munich,48.1351,11.582
141.1.243.0,141.1.243.255,EU,DE,Bavaria,Munich,48.1367,11.5768
141.1.244.0,141.1.244.255,EU,DE,Bavaria,Munich,48.1351,11.582
141.1.245.0,141.1.245.255,EU,DE,Hesse,"Frankfurt am Main",50.1109,8.68213
141.1.246.0,141.1.246.255,EU,DE,Bavaria,Munich,48.1367,11.5768
141.1.247.0,141.1.247.255,EU,DE,Bavaria,Munich,48.1351,11.582
141.1.248.0,141.1.248.255,EU,DE,Hesse,"Frankfurt am Main",50.1109,8.68213
141.1.249.0,141.1.249.255,EU,DE,Bavaria,Munich,48.1351,11.582
141.1.250.0,141.1.250.255,EU,DE,Bavaria,Munich,48.1367,11.5768
141.1.251.0,141.1.251.255,EU,DE,Bavaria,Munich,48.1351,11.582
141.1.252.0,141.1.252.255,EU,DE,Bavaria,Munich,48.1367,11.5768
141.1.253.0,141.1.255.255,EU,DE,Bavaria,Munich,48.1351,11.582
141.2.0.0,141.2.133.255,EU,DE,Hesse,"Frankfurt am Main (Innenstadt II)",50.1277,8.66742
141.2.134.0,141.2.134.255,EU,DE,Hesse,"Bad Homburg",50.2268,8.61816
141.2.135.0,141.2.255.255,EU,DE,Hesse,"Frankfurt am Main (Innenstadt II)",50.1277,8.66742
141.3.0.0,141.3.255.255,EU,DE,Baden-Württemberg,"Karlsruhe (Innenstadt-Ost)",49.0096,8.41217
141.4.0.0,141.4.255.255,EU,DE,Schleswig-Holstein,"Geesthacht (Grünhof)",53.4036,10.4272
141.5.0.0,141.5.15.255,EU,DE,"North Rhine-Westphalia","Dortmund (Hombruch)",51.4892,7.41027
141.5.16.0,141.5.16.255,EU,DE,Thuringia,Jena,50.9288,11.5899
141.5.17.0,141.5.255.255,EU,DE,"North Rhine-Westphalia","Dortmund (Hombruch)",51.4892,7.41027
141.6.0.0,141.6.8.255,EU,DE,Hesse,"Frankfurt am Main",50.1109,8.68213
141.6.9.0,141.6.11.255,EU,DE,Rheinland-Pfalz,"Ludwigshafen am Rhein",49.4753,8.45448
141.6.12.0,141.6.15.255,EU,DE,Hesse,"Frankfurt am Main",50.1109,8.68213
141.6.16.0,141.6.31.255,EU,DE,Rheinland-Pfalz,"Ludwigshafen am Rhein",49.4753,8.45448
141.6.32.0,141.6.136.255,EU,DE,Hesse,"Frankfurt am Main",50.1109,8.68213
141.6.137.0,141.6.137.255,EU,DE,Rheinland-Pfalz,"Ludwigshafen am Rhein",49.4753,8.45448
141.6.138.0,141.6.197.255,EU,DE,Hesse,"Frankfurt am Main",50.1109,8.68213
141.6.198.0,141.6.199.255,EU,DE,Rheinland-Pfalz,"Ludwigshafen am Rhein",49.4774,8.44518
141.6.200.0,141.6.202.255,EU,DE,Hesse,"Frankfurt am Main",50.1109,8.68213
141.6.203.0,141.6.203.255,EU,DE,Rheinland-Pfalz,"Ludwigshafen am Rhein (Mitte)",49.4844,8.44314
141.6.204.0,141.6.255.255,EU,DE,Hesse,"Frankfurt am Main",50.1109,8.68213
141.7.0.0,141.7.79.255,EU,DE,Baden-Württemberg,Heilbronn,49.1219,9.21092
141.7.80.0,141.7.111.255,EU,DE,Baden-Württemberg,Stuttgart,48.7157,9.11781
141.7.112.0,141.7.255.255,EU,DE,Baden-Württemberg,Heilbronn,49.1219,9.21092
141.8.0.0,141.8.7.255,EU,MT,Birkirkara,Birkirkara,35.8913,14.4581
141.8.8.0,141.8.38.255,EU,MT,Birkirkara,Birkirkara,35.8967,14.4625
141.8.39.0,141.8.39.255,EU,MT,Valletta,Valletta,35.8997,14.5148
141.8.40.0,141.8.55.255,EU,MT,Birkirkara,Birkirkara,35.8967,14.4625
141.8.56.0,141.8.56.255,EU,MT,Is-Swieqi,Swieqi,35.9225,14.48
141.8.57.0,141.8.63.255,EU,MT,Birkirkara,Birkirkara,35.8967,14.4625
141.8.64.0,141.8.71.255,EU,MT,Birkirkara,Birkirkara,35.8913,14.4581
141.8.72.0,141.8.72.255,EU,MT,Il-Mellieħa,Mellieħa,35.9564,14.3622
141.8.73.0,141.8.93.255,EU,MT,Birkirkara,Birkirkara,35.8967,14.4625
