179.8.41.0,179.8.42.255,SA,CL,"Santiago Metropolitan",Providencia,-33.4314,-70.6093
179.8.43.0,179.8.43.255,SA,CL,"Coquimbo Region","La Serena",-29.9045,-71.2489
179.8.44.0,179.8.46.255,SA,CL,"Santiago Metropolitan",Providencia,-33.4314,-70.6093
179.8.47.0,179.8.47.255,SA,CL,"Coquimbo Region","La Serena",-29.9045,-71.2489
179.8.48.0,179.8.54.255,SA,CL,"Santiago Metropolitan",Providencia,-33.4314,-70.6093
179.8.55.0,179.8.55.255,SA,CL,"Coquimbo Region","La Serena",-29.9045,-71.2489
179.8.56.0,179.8.56.255,SA,CL,"Santiago Metropolitan",Providencia,-33.4314,-70.6093
179.8.57.0,179.8.57.255,SA,CL,"Coquimbo Region",Illapel,-31.6335,-71.1697
179.8.58.0,179.8.59.255,SA,CL,"Coquimbo Region","La Serena",-29.9045,-71.2489
179.8.60.0,179.8.100.255,SA,CL,"Santiago Metropolitan",Providencia,-33.4314,-70.6093
179.8.101.0,179.8.101.255,SA,CL,Atacama,Vallenar,-28.5762,-70.7594
179.8.102.0,179.8.140.255,SA,CL,"Santiago Metropolitan",Providencia,-33.4314,-70.6093
179.8.141.0,179.8.141.255,SA,CL,"Santiago Metropolitan","Lo Prado",-33.4443,-70.7255
179.8.142.0,179.8.155.255,SA,CL,"Santiago Metropolitan",Providencia,-33.4314,-70.6093
179.8.156.0,179.8.156.255,SA,CL,"Santiago Metropolitan","Lo Prado",-33.4443,-70.7255
179.8.157.0,179.8.171.255,SA,CL,"Santiago Metropolitan",Providencia,-33.4314,-70.6093
179.8.172.0,179.8.172.255,SA,CL,"Santiago Metropolitan","Lo Prado",-33.4443,-70.7255
179.8.173.0,179.8.200.255,SA,CL,"Santiago Metropolitan",Providencia,-33.4314,-70.6093
179.8.201.0,179.8.201.255,SA,CL,Araucanía,Pucón,-39.2822,-71.9543
179.8.202.0,179.8.209.255,SA,CL,"Santiago Metropolitan",Providencia,-33.4314,-70.6093
179.8.210.0,179.8.210.255,SA,CL,Araucanía,Pucón,-39.2822,-71.9543
179.8.211.0,179.8.215.255,SA,CL,"Santiago Metropolitan",Providencia,-33.4314,-70.6093
179.8.216.0,179.8.216.255,SA,CL,Araucanía,Pucón,-39.2822,-71.9543
179.8.217.0,179.8.218.255,SA,CL,"Santiago Metropolitan",Providencia,-33.4314,-70.6093
179.8.219.0,179.8.219.255,SA,CL,Araucanía,Pucón,-39.2822,-71.9543
179.8.220.0,179.8.221.255,SA,CL,"Santiago Metropolitan",Providencia,-33.4314,-70.6093
179.8.222.0,179.8.222.255,SA,CL,Araucanía,Temuco,-38.7397,-72.5984
179.8.223.0,179.8.232.255,SA,CL,"Santiago Metropolitan",Providencia,-33.4314,-70.6093
179.8.233.0,179.8.233.255,SA,CL,Tarapacá,Iquique,-20.2133,-70.1503
179.8.234.0,179.8.236.255,SA,CL,"Santiago Metropolitan",Providencia,-33.4314,-70.6093
179.8.237.0,179.8.237.255,SA,CL,Tarapacá,Iquique,-20.2133,-70.1503
179.8.238.0,179.8.246.255,SA,CL,"Santiago Metropolitan",Providencia,-33.4314,-70.6093
179.8.247.0,179.8.247.255,SA,CL,Tarapacá,Iquique,-20.2133,-70.1503
179.8.248.0,179.8.255.255,SA,CL,"Santiago Metropolitan",Providencia,-33.4314,-70.6093
179.9.0.0,179.9.1.255,SA,CL,"Region of Magallanes","Punta Arenas",-53.1548,-70.9113
179.9.2.0,179.9.4.255,SA,CL,"Santiago Metropolitan",Providencia,-33.4314,-70.6093
179.9.5.0,179.9.5.255,SA,CL,"Region of Magallanes","Punta Arenas",-53.1548,-70.9113
179.9.6.0,179.9.6.255,SA,CL,"Santiago Metropolitan",Providencia,-33.4314,-70.6093
179.9.7.0,179.9.8.255,SA,CL,"Region of Magallanes","Punta Arenas",-53.1548,-70.9113
179.9.9.0,179.9.11.255,SA,CL,"Santiago Metropolitan",Providencia,-33.4314,-70.6093
179.9.12.0,179.9.12.255,SA,CL,"Region of Magallanes","Punta Arenas",-53.1548,-70.9113
179.9.13.0,179.9.13.255,SA,CL,"Santiago Metropolitan",Providencia,-33.4314,-70.6093
179.9.14.0,179.9.14.255,SA,CL,"Region of Magallanes","Punta Arenas",-53.1548,-70.9113
179.9.15.0,179.9.18.255,SA,CL,"Santiago Metropolitan",Providencia,-33.4314,-70.6093
179.9.19.0,179.9.19.255,SA,CL,"Region of Magallanes","Punta Arenas",-53.1548,-70.9113
179.9.20.0,179.9.20.255,SA,CL,"Santiago Metropolitan",Providencia,-33.4314,-70.6093
179.9.21.0,179.9.21.255,SA,CL,"Region of Magallanes","Punta Arenas",-53.1548,-70.9113
179.9.22.0,179.9.22.255,SA,CL,"Santiago Metropolitan",Providencia,-33.4314,-70.6093
179.9.23.0,179.9.24.255,SA,CL,"Region of Magallanes","Punta Arenas",-53.1548,-70.9113
179.9.25.0,179.9.63.255,SA,CL,"Santiago Metropolitan",Providencia,-33.4314,-70.6093
179.9.64.0,179.9.64.255,SA,CL,"Region of Magallanes","Punta Arenas",-53.1548,-70.9113
179.9.65.0,179.9.66.255,SA,CL,"Santiago Metropolitan",Providencia,-33.4314,-70.6093
179.9.67.0,179.9.68.255,SA,CL,"Region of Magallanes","Punta Arenas",-53.1548,-70.9113
179.9.69.0,179.9.69.255,SA,CL,"Santiago Metropolitan",Providencia,-33.4314,-70.6093
179.9.70.0,179.9.70.255,SA,CL,"Region of Magallanes","Punta Arenas",-53.1548,-70.9113
179.9.71.0,179.9.72.255,SA,CL,"Santiago Metropolitan",Providencia,-33.4314,-70.6093
179.9.73.0,179.9.73.255,SA,CL,"Region of Magallanes","Punta Arenas",-53.1548,-70.9113
179.9.74.0,179.9.75.255,SA,CL,"Santiago Metropolitan",Providencia,-33.4314,-70.6093
179.9.76.0,179.9.77.255,SA,CL,"Region of Magallanes","Punta Arenas",-53.1548,-70.9113
179.9.78.0,179.9.78.255,SA,CL,"Santiago Metropolitan",Providencia,-33.4314,-70.6093
179.9.79.0,179.9.79.255,SA,CL,"Region of Magallanes","Punta Arenas",-53.1548,-70.9113
179.9.80.0,179.9.80.255,SA,CL,"Santiago Metropolitan",Providencia,-33.4314,-70.6093
179.9.81.0,179.9.81.255,SA,CL,"Region of Magallanes","Punta Arenas",-53.1548,-70.9113
179.9.82.0,179.9.82.255,SA,CL,"Santiago Metropolitan",Providencia,-33.4314,-70.6093
179.9.83.0,179.9.83.255,SA,CL,"Region of Magallanes","Punta Arenas",-53.1548,-70.9113
179.9.84.0,179.9.86.255,SA,CL,"Santiago Metropolitan",Providencia,-33.4314,-70.6093
179.9.87.0,179.9.92.255,SA,CL,"Region of Magallanes","Punta Arenas",-53.1548,-70.9113
179.9.93.0,179.9.94.255,SA,CL,"Santiago Metropolitan",Providencia,-33.4314,-70.6093
179.9.95.0,179.9.95.255,SA,CL,"Region of Magallanes","Punta Arenas",-53.1548,-70.9113
179.9.96.0,179.9.96.255,SA,CL,"Santiago Metropolitan",Providencia,-33.4314,-70.6093
179.9.97.0,179.9.97.255,SA,CL,"Maule Region",Talca,-35.4264,-71.6554
179.9.98.0,179.9.162.255,SA,CL,"Santiago Metropolitan",Providencia,-33.4314,-70.6093
179.9.163.0,179.9.163.255,SA,CL,"Santiago Metropolitan",Santiago,-33.4569,-70.6483
